,Title,Author,Genre,Publish Date,Publisher,Format,Illustrator,Total Pages,Rating,Status (Read or Not),MSRP ,Special Edition?,ISBN
1,Grimm: Aunt Marie's Book of Lore ,Titan Books,Fantasy/Paranormal,"November 8th, 2013",Titan Books,Paperback ,Titan Books,144,,No,$19.95,No,978-1-781-16653-6
2,The Holy Bible,Moses wrote the most of 1 person,Religious Text,"August 28th, 2018",Zonderkidz,Leatherbound,David Malan,1077,4.75/5,Yes,$36.99,NIV - Incredible Creatures and Creations,978-0-310-76123-5
3,Wash Day Diaries ,Jamila Rowser,Young Adult Fiction,"July 5th, 2022",Chronicle Books,Graphic Novel,Robyn Smith,191,4.5/5,Yes,$19.95,No,978-1-7972-0545-8
4,LegendBorn,Tracy Deonn,Young Adult/Fantasy,"September 15th, 2020",Margaret K. McElderry Books,Hardcover,N/A,501,4.0/5,Yes,$19.99,No,978-1-5344-4160-6
5,BloodMarked,Tracy Deonn,Young Adult/Fantasy,"November 8th, 2022",Simon & Schuster Books for Young Readers,Hardcover,N/A,561,5.0/5,Yes,$19.99,Barnes & Noble Exclusive Edition,978-1-6659-3199-1
6,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan ,Fantasy/Adventure,"December 29th, 2009",Disney-Hyperion ,Hardcover,John Rocco,377,4.0/5,Yes,$25.00,Deluxe Collectors Edition (still in wrap),978-142312170-1
7,Percy Jackson &The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"December 29th, 2009",Disney-Hyperion,Hardcover,John Rocco,377,4.0/5,Yes,$25.00,Deluxe Collectors Edition (not in wrap),978-142312170-1
8,"Prodigy: The Icarus Society (Prodigy, 2)",Mark Millar,Action/Adventure,"January 17th, 2023",Image Comics,Comic Book,Matteo Buffagni,144,,No,$15.99,No,978-1-5343-2455-8
9,Nubia: Real One,L.L. McKinney,Young Adult Fiction,"February 23rd, 2021",DC Comics,Graphic Novel,Robyn Smith,205,4.5/5,Yes,$16.99,No,978-1-4012-9640-7
10,Ms. Marvel Vol. 3 - Crushed ,G. Willow Wilson & Mark Waid,Superhero,"June 9th, 2015",Marvel Universe,Comic Book,"Takeshi Miyazawa, Elmo Bondoc, Ian Herring, Irma Kniivila",112,,No,$15.99,No,978-0-7851-9227-5
11,We Are Not Like Them, Christine Pride & Jo Piazza,Contemporary Literature,"October 5th, 2021",Atria Books,Paperback ,N/A,315,,No,$17.00,No,978-1-9821-8104-8
12,The Right Swipe,Alisha Rai,Romance,"August 6th, 2019",Avon Books,Paperback ,N/A,388,,No,$14.99,No,978-0-06-297667-3
13,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"July 1st, 2005",Miramax Books - Hyperion,Hardcover,N/A,377,4.0/5,Yes,$17.95,First Edition,078685629-7
14,Percy Jackson & The Olympians: The Lightning Thief,Rick Riordan,Fantasy/Adventure,"May 12th, 2015",Disney-Hyperion,Hardcover,N/A,377,4.0/5,Yes,$17.99,Barnes & Noble Exclusive Collector's Edition (10 Year Edition) ,978-148472240-0
15,Midnight Flower's Kiss,Alexis Jade,Adult Fantasy,"May 27th, 2021",Independently Published,Paperback ,N/A,558,,No,$15.99,No,979-8511342726
16,Grimm: The Icy Touch ,John Shirley ,Fantasy/Paranormal,"November 5th, 2013",Titan Books,Paperback ,N/A,313,,No,$7.99,No,978-1781166543
17,Grimm: The Killing Time,Tim Waggoner,Fantasy/Paranormal,"September 30th, 2014",Titan Books,Paperback ,N/A,265,,No,$7.99,No,978-1781166581
18,Percy Jackson And The Singer of Apollo,Rick Riordan,Fantasy/Adventure,"February 28th, 2019",Puffin Books,Paperback ,N/A,112,3.75/5,Yes,$1.00,No,978-0-241-38073-4
19,LegendBorn,Tracy Deonn,Young Adult/Fantasy,"September 15th, 2020",Margaret K. McElderry Books,Paperback ,N/A,501,4.0/5,Yes,$13.99,No,978-1-5344-4161-3
20,Diary of a Wimpy Kid #17: Diper Överlöde,Jeff Kinney,Comedy,"October 25th, 2022",Harry N. Abrams,Hardcover,Jeff Kinney,217,,No,$14.99,No,978-1-4197-6294-9
21,Token,Beverly Kendall,Romance,"January 3rd, 2023",Graydon House,Paperback ,N/A,368,,No,$17.99,No,978-1-525-89997-3
22,"Chainsaw Man, Vol. 1",Tatsuki Fujimoto,Shonen,"October 6th, 2020",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,3.0/5,Yes,$9.99,No,978-1-9747-0993-9
23,"Chainsaw Man, Vol. 2",Tatsuki Fujimoto,Shonen,"December 1st, 2020",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,3.5/5,Yes,$9.99,No,978-1-9747-0994-6
24,"Chainsaw Man, Vol. 3",Tatsuki Fujimoto,Shonen,"February 2nd, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-0995-3
25,"Chainsaw Man, Vol. 4",Tatsuki Fujimoto,Shonen,"April 6th, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-2071-2
26,"Chainsaw Man, Vol. 5",Tatsuki Fujimoto,Shonen,"June 1st, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,200,,No,$9.99,No,978-1-9747-1922-8
27,"Chainsaw Man, Vol. 6",Tatsuki Fujimoto,Shonen,"August 3rd, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-1727-9
28,"Chainsaw Man, Vol. 7",Tatsuki Fujimoto,Shonen,"October 5th, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,200,,No,$9.99,No,978-1-9747-2096-5
29,"Chainsaw Man, Vol. 8",Tatsuki Fujimoto,Shonen,"December 7th, 2021",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-2278-5
30,"Chainsaw Man, Vol. 9",Tatsuki Fujimoto,Shonen,"February 1st, 2022",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-2404-8
31,"Chainsaw Man, Vol. 11",Tatsuki Fujimoto,Shonen,"June 7th, 2022",VIZ Media LLC,Paperback ,Tatsuki Fujimoto,192,,No,$9.99,No,978-1-9747-2711-7
32,Wonder,R.J. Palacio,Fiction,"February 14th, 2012",Knopf Books for Young Readers,Hardcover,N/A,316,4.0/5,Yes,$16.99,No,978-0-375-86902-0
33,You Truly Assumed,Laila Sabreen,Young Adult Fiction,"February 8th, 2022",Inkyard Press,Hardcover,N/A,339,,No,$18.99,No,978-1-335-41865-4
34,The Heroes of Olympus: The Lost Hero,Rick Riordan,Young Adult/Fantasy,"September 24th, 2019",Disney-Hyperion,Paperback ,N/A,557,3.89/5,Yes,$9.99,10th Anniversary Edition,978-136805143-9
35,The Heroes of Olympus: The Son of Neptune,Rick Riordan,Young Adult/Fantasy,"September 24th, 2019",Disney-Hyperion,Paperback ,N/A,521,4.85/5,Yes,$9.99,10th Anniversary Edition,978-136805144-6
36,The Heroes of Olympus: The Mark of Athena,Rick Riordan,Young Adult/Fantasy,"September 24th, 2019",Disney-Hyperion,Paperback ,N/A,584,5.0/5,Yes,$9.99,10th Anniversary Edition,978-136805142-2
37,The Heroes of Olympus: The House of Hades,Rick Riordan,Young Adult/Fantasy,"September 24th, 2019",Disney-Hyperion,Paperback ,N/A,597,4.95/4,Yes,$9.99,10th Anniversary Edition,978-136805171-2
38,The Heroes of Olympus: The Blood of Olympus,Rick Riordan,Young Adult/Fantasy,"September 24th, 2019",Disney-Hyperion,Paperback ,N/A,516,4.25/5,Yes,$9.99,10th Anniversary Edition,978-136805170-5
39,Myths & Legends: Egyptian Myths,Jake Jackson,Mythology/Legends,"Month & Day, 2022",Flame Tree,Paperback ,N/A,254,4.5/5,Yes,$9.99,No,978-1-83964-274-6
40,Myths & Legends: Green & Roman Myths,Jake Jackson,Mythology/Legends,"Month & Day, 2022",Flame Tree,Paperback ,N/A,255,4.75/5,Yes,$9.99,No,978-1-83964-275-3
41,Myths & Legends: Norse Myths,Jake Jackson,Mythology/Legends,"Month & Day, 2022",Flame Tree,Paperback ,N/A,255,3.0/5,Yes,$9.99,No,978-1-83964-277-7
42,Myths & Legends: Indian Myths,Jake Jackson,Mythology/Legends,"Month & Day, 2022",Flame Tree,Paperback ,N/A,254,4.25/5,Yes,$9.99,No,978-1-83964-276-0
